Task: condition | classes: ['Formalin-mixed', 'Fresh', 'Rotten']
Model params: 5,241,091
Args: {'task': 'condition', 'image_size': 224, 'batch_size': 32, 'epochs': 120, 'lr': 0.0003, 'weight_decay': 0.0003, 'label_smoothing': 0.1, 'dropout': 0.5, 'mixup_alpha': 0.2, 'use_aux_head': False, 'aux_weight': 0.3, 'num_workers': 4, 'seed': 42}

[61/120] train loss 0.4970 acc 64.4% | valid loss 0.7914 acc 73.8% | lr 4.69e-06
[62/120] train loss 0.4943 acc 68.3% | valid loss 0.7951 acc 73.2% | lr 4.69e-06
[63/120] train loss 0.5004 acc 62.7% | valid loss 0.8046 acc 73.4% | lr 4.69e-06
[64/120] train loss 0.5283 acc 66.4% | valid loss 0.7889 acc 74.3% | lr 4.69e-06
[65/120] train loss 0.5165 acc 68.7% | valid loss 0.7971 acc 72.8% | lr 4.69e-06
[66/120] train loss 0.5089 acc 65.6% | valid loss 0.7889 acc 72.8% | lr 4.69e-06
[67/120] train loss 0.4871 acc 65.2% | valid loss 0.7781 acc 74.4% | lr 4.69e-06
[68/120] train loss 0.4966 acc 64.3% | valid loss 0.7962 acc 72.1% | lr 4.69e-06
[69/120] train loss 0.5124 acc 65.1% | valid loss 0.7742 acc 73.7% | lr 4.69e-06
[70/120] train loss 0.5010 acc 65.4% | valid loss 0.8035 acc 72.8% | lr 4.69e-06
[71/120] train loss 0.5174 acc 68.8% | valid loss 0.7780 acc 73.5% | lr 4.69e-06
[72/120] train loss 0.5008 acc 69.0% | valid loss 0.7913 acc 73.0% | lr 4.69e-06
[73/120] train loss 0.4835 acc 66.6% | valid loss 0.8058 acc 73.2% | lr 2.34e-06
[74/120] train loss 0.4777 acc 67.4% | valid loss 0.8181 acc 72.1% | lr 2.34e-06
[75/120] train loss 0.4990 acc 67.7% | valid loss 0.7727 acc 74.6% | lr 2.34e-06
[76/120] train loss 0.4956 acc 66.1% | valid loss 0.8029 acc 73.2% | lr 2.34e-06
[77/120] train loss 0.5018 acc 65.8% | valid loss 0.7830 acc 74.5% | lr 2.34e-06
[78/120] train loss 0.4926 acc 66.3% | valid loss 0.8047 acc 72.6% | lr 2.34e-06
[79/120] train loss 0.4769 acc 65.6% | valid loss 0.7910 acc 74.3% | lr 2.34e-06
[80/120] train loss 0.5034 acc 67.2% | valid loss 0.7860 acc 74.0% | lr 2.34e-06
[81/120] train loss 0.4782 acc 67.4% | valid loss 0.8195 acc 71.8% | lr 1.17e-06
[82/120] train loss 0.5229 acc 70.2% | valid loss 0.7837 acc 73.5% | lr 1.17e-06
[83/120] train loss 0.4963 acc 65.0% | valid loss 0.7983 acc 72.1% | lr 1.17e-06
[84/120] train loss 0.4774 acc 64.9% | valid loss 0.7914 acc 73.9% | lr 1.17e-06
[85/120] train loss 0.4893 acc 64.8% | valid loss 0.7839 acc 74.1% | lr 1.17e-06
[86/120] train loss 0.4691 acc 68.3% | valid loss 0.7922 acc 74.1% | lr 1.17e-06
[87/120] train loss 0.5011 acc 67.0% | valid loss 0.7739 acc 73.6% | lr 1.00e-06
[88/120] train loss 0.5128 acc 66.1% | valid loss 0.7852 acc 74.0% | lr 1.00e-06
[89/120] train loss 0.4634 acc 64.4% | valid loss 0.7928 acc 73.0% | lr 1.00e-06
[90/120] train loss 0.4771 acc 66.0% | valid loss 0.7734 acc 74.0% | lr 1.00e-06
[91/120] train loss 0.5066 acc 68.7% | valid loss 0.8056 acc 72.6% | lr 1.00e-06
[92/120] train loss 0.5031 acc 69.6% | valid loss 0.7989 acc 72.8% | lr 1.00e-06
[93/120] train loss 0.5023 acc 66.0% | valid loss 0.7682 acc 74.4% | lr 1.00e-06
[94/120] train loss 0.4867 acc 66.4% | valid loss 0.8152 acc 72.4% | lr 1.00e-06
[95/120] train loss 0.4785 acc 67.3% | valid loss 0.8245 acc 72.5% | lr 1.00e-06
